sentiment,review,context
positiva,"love compani gt compani host kid techfest encourag career tech url babygeek ",tech
positiva," compani word work comput again yes",tech
positiva,"term unifi communic giant realli surpris see how underr compani",tech
positiva," compani dish free first gen wp7 handset it store url",tech
positiva,"watch one interest compani codenam data explor ctp come url via",tech
positiva,"lunch today 1900 eat compani while attend vslive priceless ",tech
positiva,"watch one interest compani codenam data explor ctp come next month url",tech
positiva," compani detail search improv compani 8 sta screen url",tech
positiva,"mango show compani still tast smaphon success url wp7 mango",tech
positiva,"awesom move vancouv a dev evangelist compani we final local",tech
positiva,"awesom move vancouv a dev evangelist compani we final local",tech
positiva,"compani store offer free compani 7 devic compani companystor compani s retail store ar url",tech
positiva,"compani store offer free compani 7 devic compani companystor url compani",tech
positiva,"compani store offer free compani 7 devic compani companystor url",tech
positiva,"compani store offer free compani 7 devic compani companystor url",tech
positiva,"compani store offer free compani 7 devic compani companystor url neowin",tech
positiva,"compani store offer free compani 7 devic compani companystor url",tech
positiva," compani here come spend hard earn cash vslive",tech
positiva,"if did n t know free compani html5 west coast mountainview redmond poland check them url",tech
positiva,"hey parent did know about free tool compani help keep kid safe onlin live famili safeti url",tech
positiva," compani cloud compani offer student free access it technolog improv employ dubb url tcn",tech
positiva,"awesom compani holodeck bitlyqpgxl",tech
positiva," compani detail compani 8 search improv via url",tech
positiva,"ca n t wait until can visit holodeck thank share beam compani compani url",tech
positiva,"yeah saw take serious compani done metro ui yeah look good system 40",tech
positiva,"love compani gt compani host kid techfest encourag career tech url babygeek via",tech
positiva,"compani explain improv compani 8 sta screen search url buildingcompany8 tech compani",tech
positiva,"enjoy compani search idea could let search miley url great",tech
negativa,"2nd genius apptment run late 2nd day row 2nd dodgi model make mega hire some staff ",tech
negativa,"took about 7 year figur how proper syncron model wow system5",tech
negativa,"went 5th ave told could wait about 4 hour model needle say m back hotel relax ",tech
negativa,"overal am fan model model howev system issu connect network",tech
negativa,"terribl custom servic los gato pay 199 bad home button model ",tech
negativa,"thank suck much can believ would sell someth onlin n t made",tech
negativa,"have major batteri drain issu sinc updat model 4 system 5 anyon el ",tech
negativa,"dear plea send mac book back sure repair done thank ",tech
negativa," system5 model2 caus camera apperatur dilat problem freez ",tech
negativa," system5 geoloc suburb 2 word drop map pin other state plea fix ",tech
negativa,"sorri system never bbm disappoint ",tech
negativa,"model model system doe n t work shit",tech
negativa,"clarenc thoma must design osx lion toss decad workflow standard bring back save a autosavesuck",tech
negativa,"yeah except ask receipt take them 30 minut figur where print fix ",tech
negativa,"hey wan na fix fuck playlist order piec shit",tech
negativa,"bummer model fantasi footbal app keep crash sure if s app system 5 onli two app run ",tech
negativa,"can suck dick got ta restor model annoy",tech
negativa,"line stupid",tech
negativa,"man sux io5 upgrad total fail ",tech
negativa,"dear contact terribl clean duplic 3 hour they magic reappear fix ",tech
negativa,"too much ask which app incompat url",tech
negativa,"piss whoever design keyboard have home end key work cli use those key often",tech
negativa,"most mine gone too recov after save them b4 upgrad model soooo piss ",tech
negativa,"hey wan na fix fuck playlist order piec shit",tech
negativa,"system have hard rememb sister contact card need space famili info modelmodel",tech
negativa," system5 get sloppi youne check qa team too mani issu app data sync",tech
negativa,"sm full messag known issu system5 tri restor el fail restor ",tech
negativa,"glad paid 69 care protect plan been hold over 20 minut great custom servic ",tech
negativa,"happi right upgrad itouch4 took itouch laptop help",tech
negativa,"can say about right goodridd see cancer n t bad ",tech
negativa,"can look problem model where wo n t open messag crash app too mayb fault ",tech
negativa," s point system wireless updat system5 forc use comput charg model touch worstupdateev",tech
negativa,"no worri bud p they re say model have lot network issu right m mac problem ",tech
negativa,"hate send toledo oh ani even after pre order ",tech
negativa,"if non compani equip broke often guess d need asus genius bar doe n t n t ",tech
negativa,"model o duplic ical event there s 2 everyth how fix tri turn system off ",tech
negativa,"dear how convenienthandythoughtfulsma after model system5 re app wo n t work anymor none gr mbl ",tech
negativa,"hey know businessperson businessperson die compani model app keep crash fix nowpleaselol flight",tech
negativa,"happi compani today did suggest softwar noth work ",tech
negativa,"smash yet anoth model screen gon na make more durabl tire fix myself ",tech
negativa,"system5 one problem save someon contact they n t show his nam becuz region 965 compani",tech
negativa,"sure a hell better abl restor calendar event terribl bug compani system anothersystemfail",tech
negativa,"realli hate wo n t let hide newsstand app move into folder serv no purpos ",tech
negativa,"life much easier were fruit ",tech
negativa,"no locat remind model2 point updat system 5",tech
negativa,"compar live app system see system lead crowd agre ",tech
negativa,"turn comput n t a fix a meant fuck m go back genius bar complain annoy",tech
negativa,"if doe n t fix system5 week m buy droid emptythreat",tech
negativa,"pls launch system model4 disappoint after spend hour upgrad system5",tech
negativa,"can suck fuck model better glad s caus servic fuck terribl",tech
negativa,"first ve been unhappi ani product disappoint internet seem a confus a am right ",tech
negativa,"after week system5 m consid go back jailbroken 42 same featur a 5 plus more a stabl though ",tech
negativa,"issu system reach network today too mani use signal ",tech
negativa,"system5 complet fail upgrad m stuck restor loop thank wast day can undo ",tech
negativa,"doe modelmodel run littl warm sometim ",tech
negativa,"wtf can we add newsstand folder we alreadi wall garden plea n t remind u ",tech
negativa,"see none compani offic program work anymor after lion upgrad ",tech
negativa,"dear n t want newsstand icon screen notcool",tech
negativa,"doe take better qualiti photo model though give them photograhersey",tech
negativa,"ok idk wth after sync album order wtf",tech
negativa,"wish system could tweet fix ",tech
negativa," m still wait deliv",tech
negativa,"never purchas anoth product rest life am glad businessperson businessperson fuck dead may fuck rot hell ",tech
negativa,"thank imac brick can re instal lion can purchas becaus instal former owner ",tech
negativa,"ask system where s babi lisa told sorri m have troubl connect network right server fail system5",tech
negativa,"onli thing system5 done delet tiger wood game made imposs retriev thank",tech
negativa,"damn break wififofum continu work system 4 one most use app damn compani s overbear polici ",tech
negativa,"yo disast",tech
negativa,"dear am su insur compani manag make top shit list ineedthosepictur",tech
negativa,"dear must let turn off system save bandwidth delet document model s bullshit ",tech
negativa,"dear s again thank beauti system featur miss some old one lk make call text gt ",tech
negativa,"far worst experi upgrad ani version system system5",tech
negativa,"happen never purchas anoth item",tech
negativa,"never purchas anoth item",tech
negativa,"wow worst custom servic experi ever arrog inept bad combo biltmor compani ",tech
negativa,"wow worst custom servic experi ever arrog inept bad combo biltmor compani ",tech
negativa,"hey guy wtf happen model4 system5 sudden fade black begin vibrat continu reboot",tech
negativa,"n t play nice let use hdmi model pretti lame ",tech
negativa,"warn if model app spontan loo data might app s fault url system5downgrad",tech
negativa,"dear s again thank beauti system featur miss some old one make call t ",tech
negativa,"and onli first 23 imag photo roll made over serious how did fuck much ",tech
negativa,"doe model4 plus system5 equal half batteri life ",tech
negativa,"n t system updat wan na model system5 then system say need then fail ",tech
negativa,"wo n t let use credit unless credit card should told redeem card sound fair ",tech
negativa,"system work le 10 if servic doe n t improv monday m return model model ",tech
negativa,"again mobilem issu sync access mail good premis system ",tech
negativa,"need help instal system model4 am stuck find model screen keep click next doe n t work",tech
negativa,"bummer system sync compani onli w outlook thunderbird ie firefox chrome sadmac",tech
negativa,"heard test befor deploy updat differ between compani compani none",tech
negativa,"disappoint visual merchandis simpl lack eleg sequenc doe n t even tell u about system url",tech
negativa,"been termin hold suppo she must onli person have troubl model synch ",tech
negativa,"thank compani system 5 lose contact ",tech
negativa,"give app back ",tech
negativa," system5 nonstop drop call mute button random activ person cant hear pull ear mobil screen",tech
negativa,"did n t occur compani ppl share system account amongst famili s wtf ",tech
negativa," epicfail",tech
negativa,"90 minut after be 100 model 4 post system5 upgrad lost 40 it charg folk idea ",tech
negativa,"cut cord make podcast even harder manag no subscript wth url system5 via",tech
negativa,"rememb peopl use say flat fuck lol face while say kindahow feel about",tech
negativa,"le hour post system5 model gone 100 73 batteri charg folk no solut ",tech
negativa,"well seem 2b screw model model resellar they still dont model yet were promis similar 2 ma bell s monopolist prctice ",tech
negativa,"also n t forget stop close app after each bloodi purchas ",tech
negativa,"cu",tech
negativa," sigh seem stump about catastroph bad batteri life after upgrad system5",tech
negativa,"hmmmm lot system featur n t work canada locat direct serious come ",tech
negativa," system ca n t connect network s le use voicecontrol ",tech
negativa,"took system made exclus model model sorud",tech
negativa,"total 1 hour 27 minut let s see how goe ",tech
negativa,"wait line noth fuck genius call app john jean stop fuck name im french boy pcam ",tech
negativa,"dear one day re go releas version system doe n t freez more often work one day ",tech
negativa," s been 24hrs sinc repo theft model done noth no return call a promis noth ",tech
negativa,"doe bode well after charg night model model 25 batteri after onli 3hr off charger no call light use",tech
negativa,"houston we problem model been restor 12 hour after instal system5 ca n t right ",tech
negativa," system went littl while last night come shit togeth launch ",tech
negativa,"should team instead make sync system focus car sweet sync epicfail",tech
negativa,"instal io5 fine model wipe wife s model restor backup fail bigtroubl help",tech
negativa,"realli done system ca n t click music movi tv show ani playlist l ",tech
negativa,"damn ",tech
negativa,"there too mani compani servic work companyapp user companyplus abov profil pluson",tech
negativa,"sta doubt compani system polici no releas system sourc sinc 233 curious opensourc project say least ",tech
negativa,"medium video view still updat proper compani medium fail",tech
negativa,"did compani realli highlight font roboto a pa system announc system serious ",tech
negativa," facebook compani got wrong url",tech
negativa," compani realli confus",tech
negativa,"mull compani hmmm aint shore bout nuther social medium profil ",tech
negativa,"athen s review compani doc access show lot work need done url a11i ht",tech
negativa,"gon na dump one gmail account onli ton spam ton fals posit cool compani",tech
negativa,"awkward moment compani chrome take hell lot load companyplus compani",tech
negativa," compani cloud servic blackout threaten cloud user dure 30 day period august septemb url tcn",tech
negativa,"compani uphil battl v facebook sean parker url compani",tech
negativa,"4chan s chris pool facebook compani do wrong url via socialmedia",tech
negativa,"lectur note financi economsystem pdf ebook url compani",tech
negativa,"hate tron theme compani system",tech
negativa," realli compani how hypocrit url analytsystem",tech
negativa,"codenam awesom hard take anyth call system sandwich serious compani system sticki melt",tech
negativa,"onli letdown compani model 50 mp camera system compani companymodel sgn system compani",tech
negativa," compani introduc system tablet call system sandwich m singaporean m confus ",tech
negativa," system introduc facial recognit unlock howev demo did n t go a plannedurl compani goof system",tech
negativa,"system sandwich realli compani ",tech
negativa," compani terribl present hate terribl camera interfer huge screen behind speaker headach",tech
negativa,"watch model announc compani compani onli thing keep buy s onli verizon fail",tech
negativa,"tri compani word visigoth appar compani did n t know either caus froze ",tech
negativa,"dear compani compani learn some present 101 first plea ",tech
negativa,"onli letdown compani model 50 mp camera system compani companymodel sgn system compani",tech
negativa," compani ve block global ip network site jk stop be evil ",tech
negativa,"boo no companymus news u carrier news price point compani system system",tech
negativa," s laughabl file compani encrypt search result onli ifyouhav log they can maxim data collect ",tech
negativa," compani fail",tech
negativa," 1 dear compani compani learn some present 101 first plea ",tech
negativa,"dear compani compani learn some present 101 first plea ",tech
negativa," 1 background horribl stream compani compani modelprim they should ve seen adob did adobemax",tech
negativa,"where heck sourc code wtf compani",tech
negativa,"great impress compani compani present skill ",tech
negativa,"system ice cream sandwich s face unlock fail perform recognit demo ed stage d compani model url",tech
negativa,"good job compani did anyon ani shit actual ship infofail",tech
negativa,"we need date compani compani launchfail",tech
negativa,"also compani problem problem santorum s elect argument doubl digit loss 2006",tech
negativa,"they need talk about batteri life impact systembeam ca n t good news compani system system",tech
negativa,"anoth system demo fail compani",tech
negativa,"too bad compani did n t tribut graphic dennisritchi ",tech
negativa,"present fail compani compani",tech
negativa," compani guy illustr peril live demonstr admir model system system",tech
negativa,"system crash 1 compani quick respons featur 0 compani system system quickrespons",tech
negativa," compani adveis adword express bing hmmm know ballmer happi d compani alreadi monopoli ",tech
negativa," compani peopl app next revolut stalk ",tech
negativa,"first thing compani s list hire perform coach ",tech
negativa," compani compani unveil url",tech
negativa," compani whore compani system",tech
negativa,"if compani n t fix pinch zoom system 236 soon might leav fold go cyanogenmod",tech
negativa,"facial recognit fail icecreamsandwich jajajajajajaj facialunlock samsumg compani",tech
negativa,"ouch crash burn system facial recognit icecreamsandwich did n t work dure present url compani",tech
negativa,"compani gon na need better beat system system icecreamsandwich compani url",tech
negativa,"face unlock system liter know face compani model fail ",tech
negativa," fail face recognit work compani compani",tech
negativa,"face recognit unlock would cool if work system compani icecreamsandwich",tech
negativa,"system system go kill both mango wmp compani rimm alreadi kill webo nokia o ",tech
negativa,"onli peopl name begin a get mail week la compani ",tech
negativa," compani outlook 2011 mac suck hate",tech
negativa," compani freez some xbox account after hack repo url via",tech
negativa," compani ms11 078 critic vulner net framework compani silverlight could allow r url",tech
negativa," compani compani medium centr gui fail majorfail",tech
negativa,"how compani eclips compani url",tech
negativa,"haha k thought everybodi knew compani suck ",tech
negativa,"bc ie everyth compani make junk super prone crash ",tech
negativa," compani violat u antitrust lawsleav netscap busi novel woundedit play dumb url",tech
negativa," compani lync crash issu mac o x 1072 fix url",tech
negativa," compani lync crash issu mac o x 1072 fix url",tech
negativa," compani lync crash issu mac o x 1072 fix url",tech
negativa," compani broke law play victim engag racket call victim outlaw respect our ",tech
negativa," nokia worker ask chief execut compani mole url",tech
negativa," compani frozen some xbox live xbl account after onlin gamer repo they been hack url ",tech
negativa,"gave tri compani 8 dev preview good ui way too messi right wait beta compani company8",tech
negativa,"six powerpoint nightmar how fix them url powerpoint compani present",tech
negativa,"how compani eclips compani url",tech
negativa,"kind realli creepi use search engin same way a would url compani",tech
negativa,"great famili compani adveis enrag again url",tech
negativa," compani 8 compani ca n t forget past antitrust issu url",tech
negativa," compani current pay produc swpat propaganda lobbi politician make racket seem accept",tech
negativa,"there noth sit workshop day talk compani have talk them again tomorrow wait pa ",tech
negativa,"reader tronman compar businesspersonballm albatross around compani s neck agre join discu ",tech
neutra,"success also compani s gain a mobil adveis balloon url",tech
neutra,"w respect old altern were talk comput india geek squad doe pretti great job ",tech
neutra,"yes tech peep talk much about algorithm tech should alway tie back peopl prove imediasummit",tech
neutra,"great tech battl ft more url via",tech
neutra,"anoth shrewd busi model move url root dark hors war tech",tech
neutra,"sell 4 million model model 3 day url via",tech
neutra,"flower compani shower santa monica honor businessperson url",tech
neutra,"beg ppl go model url",tech
neutra,"peopl love businessperson check photo url",tech
neutra,"model model v canon 5d mark ii side by side comparison 1080p hd video url lt lt",tech
neutra,"valuabl good analysi trend profit system v compani compar bottom line url via",tech
neutra,"can still use mobilem webhost without iweb after conv system ",tech
neutra,"url businessperson memori boylston",tech
neutra,"am proud owner tv thank big bro famili ",tech
neutra,"predict system 1987 video video stage septemb 2011 url",tech
neutra,"yyourun 64gb model settl 32gb save 100 though content",tech
neutra,"profit min 400 per model they sold 4 million weekend s anoth 16 billion compani coffer worldrecess ",tech
neutra,"big mo one week system hit 20m user 25m use system 5 url via",tech
neutra,"sma a hell great tech war 2012 url fab four via mustread",tech
neutra,"improv system engag content paner custom better url social activ messag",tech
neutra,"return error 500 we tri post link suppo communiti detail how turn off auto renew subscript ",tech
neutra,"sma a hell great tech war 2012 url fab four ",tech
neutra," s kinda sad s most relev tweet ve seen today kinda awesom m sure devproblem",tech
neutra,"too bad m junki system compani system5",tech
neutra,"buri abil manag newsstand subscript under app set inconveni best ",tech
neutra,"sma a hell great tech war 2012 url fab four ",tech
neutra,"predict system 1987 video video stage septemb 2011 url",tech
neutra,"smh tri cut line model cmon mayn if cofound stood line then too ",tech
neutra,"go big go home user here some app make model model s s super url via m",tech
neutra,"thank businessperson song creat businessperson businessperson url via businessperson compani",tech
neutra,"am wait conf email system ",tech
neutra," wheniwas14 regist domain name url thus begin plan world domin",tech
neutra,"thank businessperson song creat businessperson businessperson url via businessperson compani",tech
neutra,"compani buzz best buy url oh sale guy quot m sell use ani p ",tech
neutra,"anyon know we can onli read ibook model model ani idea how read them mac ",tech
neutra,"did n t provid 5gb per devic cloud backup 5gb per account silli ",tech
neutra,"blog url system droidbion modelmodel 4glte",tech
neutra,"over weekend sold more 4 000 000 model about 16 model sold second ",tech
neutra,"how sync gmail contact model help plea ",tech
neutra,"love these name chase system sandwich url mobil",tech
neutra,"yes fix also slow internet model model owner have troubl system connect internet ",tech
neutra,"go today laptop situat figur",tech
neutra,"gulp sell 4 million model model 3 day yahoo financ url via",tech
neutra,"voic tech realli a impress a net think url system",tech
neutra,"next year go realli interest tech a vie growth area url",tech
neutra,"pack session ganersym indic today s mindshar ",tech
neutra,"pack session ganersym indic today s mindshar ",tech
neutra," um no black peopl",tech
neutra," um no black peopl",tech
neutra,"too mani compani n t manag 60 sec vid url entrepreneur staup pioniq",tech
neutra,"xd that back pc inca hide gun ",tech
neutra,"plea provid suppo bangla keyboard system would make life mani bengali system user easier model",tech
neutra,"sell 4 million first weekend sold over 30 million model ii phone global ",tech
neutra,"hey need more server system traffic m sure compani can help ",tech
neutra,"wish someon would gift unlock model model model",tech
neutra,"appar s correct",tech
neutra,"love love phone ever sinc damn text keep say they re full there none s problem ",tech
neutra," opinion need care patent issu look lot learn lot make chip ",tech
neutra,"can guarante hd noth 2 rim server failur day after over 4million model model sold 3day ",tech
neutra,"3 princip global player activ market url ",tech
neutra,"underplay power model via lt yup socapac11",tech
neutra,"ya hoo sell 4 million model model 3 day url via aapl",tech
neutra,"underplay power model via lt yup socapac11",tech
neutra,"3 princip global player activ market url dbw metacon",tech
neutra,"dear invis internassist plea go pick comput hospit can upgrad system5 thank ",tech
neutra," system could done it great modelmodel hear model5 come 2013",tech
neutra,"wow sold 4 million model model singl weekend url",tech
neutra,"oh sale guy m sell use ani product dure mourn period over job s pas hmmm",tech
neutra,"wish model featur s dock scroll aist album song titl huge font across ",tech
neutra," ibm modelmodel system watson",tech
neutra,"leav businessperson s photo home page he would realli want his honor let s back innovati ",tech
neutra,"leav businessperson s photo home page he would realli want his honor let s back innov ",tech
neutra,"leav businessperson s photo home page he would realli want his honor let s back innov eh ",tech
neutra,"sold more becaus it more retail duhhhh also woz correct peopl dont want tech answer simpl child one ok ",tech
neutra,"wait poor imac seen genius hope painless too bad here ",tech
neutra,"sure system5 s integr would great benefit move least 123 keyboard page simpleth",tech
neutra," s incred peopl still buy into compani a world beater s not true anymor ",tech
neutra,"disappoint hogwa choic world clock model",tech
neutra,"great video 1987 predict tablet form system end aicl cont url",tech
neutra,"ih model model show key design compon chang url compani iphomemodel system5",tech
